"","program","status","sex"
"270","A","admitted","male"
"271","A","admitted","male"
"272","A","admitted","male"
"273","A","admitted","male"
"274","A","admitted","male"
"275","A","admitted","male"
"276","A","admitted","male"
"277","A","admitted","male"
"278","A","admitted","male"
"279","A","admitted","male"
"280","A","admitted","male"
"281","A","admitted","male"
"282","A","admitted","male"
"283","A","admitted","male"
"284","A","admitted","male"
"285","A","admitted","male"
"286","A","admitted","male"
"287","A","admitted","male"
"288","A","admitted","male"
"289","A","admitted","male"
"290","A","admitted","male"
"291","A","admitted","male"
"292","A","admitted","male"
"293","A","admitted","male"
"294","A","admitted","male"
"295","A","admitted","male"
"296","A","admitted","male"
"297","A","admitted","male"
"298","A","admitted","male"
"299","A","admitted","male"
"300","A","admitted","male"
"301","A","admitted","male"
"302","A","admitted","male"
"303","A","admitted","male"
"304","A","admitted","male"
"305","A","admitted","male"
"306","A","admitted","male"
"307","A","admitted","male"
"308","A","admitted","male"
"309","A","admitted","male"
"310","A","admitted","male"
"311","A","admitted","male"
"312","A","admitted","male"
"313","A","admitted","male"
"314","A","admitted","male"
"315","A","admitted","male"
"316","A","admitted","male"
"317","A","admitted","male"
"318","A","admitted","male"
"319","A","admitted","male"
"320","A","admitted","male"
"321","A","admitted","male"
"322","A","admitted","male"
"323","A","admitted","male"
"324","A","admitted","male"
"325","A","admitted","male"
"326","A","admitted","male"
"327","A","admitted","male"
"328","A","admitted","male"
"329","A","admitted","male"
"330","A","admitted","male"
"331","A","admitted","male"
"332","A","admitted","male"
"333","A","admitted","male"
"334","A","admitted","male"
"335","A","admitted","male"
"336","A","admitted","male"
"337","A","admitted","male"
"338","A","admitted","male"
"339","A","admitted","male"
"340","A","admitted","male"
"341","A","admitted","male"
"342","A","admitted","male"
"343","A","admitted","male"
"344","A","admitted","male"
"345","A","admitted","male"
"346","A","admitted","male"
"347","A","admitted","male"
"348","A","admitted","male"
"349","A","admitted","male"
"350","A","admitted","male"
"351","A","admitted","male"
"352","A","admitted","male"
"353","A","admitted","male"
"354","A","admitted","male"
"355","A","admitted","male"
"356","A","admitted","male"
"357","A","admitted","male"
"358","A","admitted","male"
"359","A","admitted","male"
"360","A","admitted","male"
"361","A","admitted","male"
"362","A","admitted","male"
"363","A","admitted","male"
"364","A","admitted","male"
"365","A","admitted","male"
"366","A","admitted","male"
"367","A","admitted","male"
"368","A","admitted","male"
"369","A","admitted","male"
"370","A","admitted","male"
"371","A","admitted","male"
"372","A","admitted","male"
"373","A","admitted","male"
"374","A","admitted","male"
"375","A","admitted","male"
"376","A","admitted","male"
"377","A","admitted","male"
"378","A","admitted","male"
"379","A","admitted","male"
"380","A","admitted","male"
"381","A","admitted","male"
"382","A","admitted","male"
"383","A","admitted","male"
"384","A","admitted","male"
"385","A","admitted","male"
"386","A","admitted","male"
"387","A","admitted","male"
"388","A","admitted","male"
"389","A","admitted","male"
"390","A","admitted","male"
"391","A","admitted","male"
"392","A","admitted","male"
"393","A","admitted","male"
"394","A","admitted","male"
"395","A","admitted","male"
"396","A","admitted","male"
"397","A","admitted","male"
"398","A","admitted","male"
"399","A","admitted","male"
"400","A","admitted","male"
"401","A","admitted","male"
"402","A","admitted","male"
"403","A","admitted","male"
"404","A","admitted","male"
"405","A","admitted","male"
"406","A","admitted","male"
"407","A","admitted","male"
"408","A","admitted","male"
"409","A","admitted","male"
"410","A","admitted","male"
"411","A","admitted","male"
"412","A","admitted","male"
"413","A","admitted","male"
"414","A","admitted","male"
"415","A","admitted","male"
"416","A","admitted","male"
"417","A","admitted","male"
"418","A","admitted","male"
"419","A","admitted","male"
"420","A","admitted","male"
"421","A","admitted","male"
"422","A","admitted","male"
"423","A","admitted","male"
"424","A","admitted","male"
"425","A","admitted","male"
"426","A","admitted","male"
"427","A","admitted","male"
"428","A","admitted","male"
"429","A","admitted","male"
"430","A","admitted","male"
"431","A","admitted","male"
"432","A","admitted","male"
"433","A","admitted","male"
"434","A","admitted","male"
"435","A","admitted","male"
"436","A","admitted","male"
"437","A","admitted","male"
"438","A","admitted","male"
"439","A","admitted","male"
"440","A","admitted","male"
"441","A","admitted","male"
"442","A","admitted","male"
"443","A","admitted","male"
"444","A","admitted","male"
"445","A","admitted","male"
"446","A","admitted","male"
"447","A","admitted","male"
"448","A","admitted","male"
"449","A","admitted","male"
"450","A","admitted","male"
"451","A","admitted","male"
"452","A","admitted","male"
"453","A","admitted","male"
"454","A","admitted","male"
"455","A","admitted","male"
"456","A","admitted","male"
"457","A","admitted","male"
"458","A","admitted","male"
"459","A","admitted","male"
"460","A","admitted","male"
"461","A","admitted","male"
"462","A","admitted","male"
"463","A","admitted","male"
"464","A","admitted","male"
"465","A","admitted","male"
"466","A","admitted","male"
"467","A","admitted","male"
"468","A","admitted","male"
"469","A","admitted","male"
"470","A","admitted","male"
"471","A","admitted","male"
"472","A","admitted","male"
"473","A","admitted","male"
"474","A","admitted","male"
"475","A","admitted","male"
"476","A","admitted","male"
"477","A","admitted","male"
"478","A","admitted","male"
"479","A","admitted","male"
"480","A","admitted","male"
"481","A","admitted","male"
"482","A","admitted","male"
"483","A","admitted","male"
"484","A","admitted","male"
"485","A","admitted","male"
"486","A","admitted","male"
"487","A","admitted","male"
"488","A","admitted","male"
"489","A","admitted","male"
"490","A","admitted","male"
"491","A","admitted","male"
"492","A","admitted","male"
"493","A","admitted","male"
"494","A","admitted","male"
"495","A","admitted","male"
"496","A","admitted","male"
"497","A","admitted","male"
"498","A","admitted","male"
"499","A","admitted","male"
"500","A","admitted","male"
"501","A","admitted","male"
"502","A","admitted","male"
"503","A","admitted","male"
"504","A","admitted","male"
"505","A","admitted","male"
"506","A","admitted","male"
"507","A","admitted","male"
"508","A","admitted","male"
"509","A","admitted","male"
"510","A","admitted","male"
"511","A","admitted","male"
"512","A","admitted","male"
"513","A","admitted","female"
"514","A","admitted","female"
"515","A","admitted","female"
"516","A","admitted","female"
"517","A","admitted","female"
"518","A","admitted","female"
"519","A","admitted","female"
"520","A","admitted","female"
"521","A","admitted","female"
"522","A","admitted","female"
"523","A","admitted","female"
"524","A","admitted","female"
"525","A","admitted","female"
"526","A","admitted","female"
"527","A","admitted","female"
"528","A","admitted","female"
"529","A","admitted","female"
"530","A","admitted","female"
"531","A","admitted","female"
"532","A","admitted","female"
"533","A","admitted","female"
"534","A","admitted","female"
"535","A","admitted","female"
"536","A","admitted","female"
"537","A","admitted","female"
"538","A","admitted","female"
"539","A","admitted","female"
"540","A","admitted","female"
"541","A","admitted","female"
"542","A","admitted","female"
"543","A","admitted","female"
"544","A","admitted","female"
"545","A","admitted","female"
"546","A","admitted","female"
"547","A","admitted","female"
"548","A","admitted","female"
"549","A","admitted","female"
"550","A","admitted","female"
"551","A","admitted","female"
"552","A","admitted","female"
"553","A","admitted","female"
"554","A","admitted","female"
"555","A","admitted","female"
"556","A","admitted","female"
"557","A","admitted","female"
"558","A","admitted","female"
"559","A","admitted","female"
"560","A","admitted","female"
"561","A","admitted","female"
"562","A","admitted","female"
"563","A","admitted","female"
"564","A","admitted","female"
"565","A","admitted","female"
"566","A","admitted","female"
"567","A","admitted","female"
"568","A","admitted","female"
"569","A","admitted","female"
"570","A","admitted","female"
"571","A","admitted","female"
"572","A","admitted","female"
"573","A","admitted","female"
"574","A","admitted","female"
"575","A","admitted","female"
"576","A","admitted","female"
"577","A","admitted","female"
"578","A","admitted","female"
"579","A","admitted","female"
"580","A","admitted","female"
"581","A","admitted","female"
"582","A","admitted","female"
"583","A","admitted","female"
"584","A","admitted","female"
"585","A","admitted","female"
"586","A","admitted","female"
"587","A","admitted","female"
"588","A","admitted","female"
"589","A","admitted","female"
"590","A","admitted","female"
"591","A","admitted","female"
"592","A","admitted","female"
"593","A","admitted","female"
"594","A","admitted","female"
"595","A","admitted","female"
"596","A","admitted","female"
"597","A","admitted","female"
"598","A","admitted","female"
"599","A","admitted","female"
"600","A","admitted","female"
"601","A","admitted","female"
"602","A","denied","male"
"603","A","denied","male"
"604","A","denied","male"
"605","A","denied","male"
"606","A","denied","male"
"607","A","denied","male"
"608","A","denied","male"
"609","A","denied","male"
"610","A","denied","male"
"611","A","denied","male"
"612","A","denied","male"
"613","A","denied","male"
"614","A","denied","male"
"615","A","denied","male"
"616","A","denied","male"
"617","A","denied","male"
"618","A","denied","male"
"619","A","denied","male"
"620","A","denied","male"
"621","A","denied","male"
"622","A","denied","male"
"623","A","denied","male"
"624","A","denied","male"
"625","A","denied","male"
"626","A","denied","male"
"627","A","denied","male"
"628","A","denied","male"
"629","A","denied","male"
"630","A","denied","male"
"631","A","denied","male"
"632","A","denied","male"
"633","A","denied","male"
"634","A","denied","male"
"635","A","denied","male"
"636","A","denied","male"
"637","A","denied","male"
"638","A","denied","male"
"639","A","denied","male"
"640","A","denied","male"
"641","A","denied","male"
"642","A","denied","male"
"643","A","denied","male"
"644","A","denied","male"
"645","A","denied","male"
"646","A","denied","male"
"647","A","denied","male"
"648","A","denied","male"
"649","A","denied","male"
"650","A","denied","male"
"651","A","denied","male"
"652","A","denied","male"
"653","A","denied","male"
"654","A","denied","male"
"655","A","denied","male"
"656","A","denied","male"
"657","A","denied","male"
"658","A","denied","male"
"659","A","denied","male"
"660","A","denied","male"
"661","A","denied","male"
"662","A","denied","male"
"663","A","denied","male"
"664","A","denied","male"
"665","A","denied","male"
"666","A","denied","male"
"667","A","denied","male"
"668","A","denied","male"
"669","A","denied","male"
"670","A","denied","male"
"671","A","denied","male"
"672","A","denied","male"
"673","A","denied","male"
"674","A","denied","male"
"675","A","denied","male"
"676","A","denied","male"
"677","A","denied","male"
"678","A","denied","male"
"679","A","denied","male"
"680","A","denied","male"
"681","A","denied","male"
"682","A","denied","male"
"683","A","denied","male"
"684","A","denied","male"
"685","A","denied","male"
"686","A","denied","male"
"687","A","denied","male"
"688","A","denied","male"
"689","A","denied","male"
"690","A","denied","male"
"691","A","denied","male"
"692","A","denied","male"
"693","A","denied","male"
"694","A","denied","male"
"695","A","denied","male"
"696","A","denied","male"
"697","A","denied","male"
"698","A","denied","male"
"699","A","denied","male"
"700","A","denied","male"
"701","A","denied","male"
"702","A","denied","male"
"703","A","denied","male"
"704","A","denied","male"
"705","A","denied","male"
"706","A","denied","male"
"707","A","denied","male"
"708","A","denied","male"
"709","A","denied","male"
"710","A","denied","male"
"711","A","denied","male"
"712","A","denied","male"
"713","A","denied","male"
"714","A","denied","male"
"715","A","denied","male"
"716","A","denied","male"
"717","A","denied","male"
"718","A","denied","male"
"719","A","denied","male"
"720","A","denied","male"
"721","A","denied","male"
"722","A","denied","male"
"723","A","denied","male"
"724","A","denied","male"
"725","A","denied","male"
"726","A","denied","male"
"727","A","denied","male"
"728","A","denied","male"
"729","A","denied","male"
"730","A","denied","male"
"731","A","denied","male"
"732","A","denied","male"
"733","A","denied","male"
"734","A","denied","male"
"735","A","denied","male"
"736","A","denied","male"
"737","A","denied","male"
"738","A","denied","male"
"739","A","denied","male"
"740","A","denied","male"
"741","A","denied","male"
"742","A","denied","male"
"743","A","denied","male"
"744","A","denied","male"
"745","A","denied","male"
"746","A","denied","male"
"747","A","denied","male"
"748","A","denied","male"
"749","A","denied","male"
"750","A","denied","male"
"751","A","denied","male"
"752","A","denied","male"
"753","A","denied","male"
"754","A","denied","male"
"755","A","denied","male"
"756","A","denied","male"
"757","A","denied","male"
"758","A","denied","male"
"759","A","denied","male"
"760","A","denied","male"
"761","A","denied","male"
"762","A","denied","male"
"763","A","denied","male"
"764","A","denied","male"
"765","A","denied","male"
"766","A","denied","male"
"767","A","denied","male"
"768","A","denied","male"
"769","A","denied","male"
"770","A","denied","male"
"771","A","denied","male"
"772","A","denied","male"
"773","A","denied","male"
"774","A","denied","male"
"775","A","denied","male"
"776","A","denied","male"
"777","A","denied","male"
"778","A","denied","male"
"779","A","denied","male"
"780","A","denied","male"
"781","A","denied","male"
"782","A","denied","male"
"783","A","denied","male"
"784","A","denied","male"
"785","A","denied","male"
"786","A","denied","male"
"787","A","denied","male"
"788","A","denied","male"
"789","A","denied","male"
"790","A","denied","male"
"791","A","denied","male"
"792","A","denied","male"
"793","A","denied","male"
"794","A","denied","male"
"795","A","denied","male"
"796","A","denied","male"
"797","A","denied","male"
"798","A","denied","male"
"799","A","denied","male"
"800","A","denied","male"
"801","A","denied","male"
"802","A","denied","male"
"803","A","denied","male"
"804","A","denied","male"
"805","A","denied","male"
"806","A","denied","male"
"807","A","denied","male"
"808","A","denied","male"
"809","A","denied","male"
"810","A","denied","male"
"811","A","denied","male"
"812","A","denied","male"
"813","A","denied","male"
"814","A","denied","male"
"815","A","denied","male"
"816","A","denied","male"
"817","A","denied","male"
"818","A","denied","male"
"819","A","denied","male"
"820","A","denied","male"
"821","A","denied","male"
"822","A","denied","male"
"823","A","denied","male"
"824","A","denied","male"
"825","A","denied","male"
"826","A","denied","male"
"827","A","denied","male"
"828","A","denied","male"
"829","A","denied","male"
"830","A","denied","male"
"831","A","denied","male"
"832","A","denied","male"
"833","A","denied","male"
"834","A","denied","male"
"835","A","denied","male"
"836","A","denied","male"
"837","A","denied","male"
"838","A","denied","male"
"839","A","denied","male"
"840","A","denied","male"
"841","A","denied","male"
"842","A","denied","male"
"843","A","denied","male"
"844","A","denied","male"
"845","A","denied","male"
"846","A","denied","male"
"847","A","denied","male"
"848","A","denied","male"
"849","A","denied","male"
"850","A","denied","male"
"851","A","denied","male"
"852","A","denied","male"
"853","A","denied","male"
"854","A","denied","male"
"855","A","denied","male"
"856","A","denied","male"
"857","A","denied","male"
"858","A","denied","male"
"859","A","denied","male"
"860","A","denied","male"
"861","A","denied","male"
"862","A","denied","male"
"863","A","denied","male"
"864","A","denied","male"
"865","A","denied","male"
"866","A","denied","male"
"867","A","denied","male"
"868","A","denied","male"
"869","A","denied","male"
"870","A","denied","male"
"871","A","denied","male"
"872","A","denied","male"
"873","A","denied","male"
"874","A","denied","male"
"875","A","denied","male"
"876","A","denied","male"
"877","A","denied","male"
"878","A","denied","male"
"879","A","denied","male"
"880","A","denied","male"
"881","A","denied","male"
"882","A","denied","male"
"883","A","denied","male"
"884","A","denied","male"
"885","A","denied","male"
"886","A","denied","male"
"887","A","denied","male"
"888","A","denied","male"
"889","A","denied","male"
"890","A","denied","male"
"891","A","denied","male"
"892","A","denied","male"
"893","A","denied","male"
"894","A","denied","male"
"895","A","denied","male"
"896","A","denied","male"
"897","A","denied","male"
"898","A","denied","male"
"899","A","denied","male"
"900","A","denied","male"
"901","A","denied","male"
"902","A","denied","male"
"903","A","denied","male"
"904","A","denied","male"
"905","A","denied","male"
"906","A","denied","male"
"907","A","denied","male"
"908","A","denied","male"
"909","A","denied","male"
"910","A","denied","male"
"911","A","denied","male"
"912","A","denied","male"
"913","A","denied","male"
"914","A","denied","male"
"915","A","denied","female"
"916","A","denied","female"
"917","A","denied","female"
"918","A","denied","female"
"919","A","denied","female"
"920","A","denied","female"
"921","A","denied","female"
"922","A","denied","female"
"923","A","denied","female"
"924","A","denied","female"
"925","A","denied","female"
"926","A","denied","female"
"927","A","denied","female"
"928","A","denied","female"
"929","A","denied","female"
"930","A","denied","female"
"931","A","denied","female"
"932","A","denied","female"
"933","A","denied","female"
"934","B","admitted","male"
"935","B","admitted","male"
"936","B","admitted","male"
"937","B","admitted","male"
"938","B","admitted","male"
"939","B","admitted","male"
"940","B","admitted","male"
"941","B","admitted","male"
"942","B","admitted","male"
"943","B","admitted","male"
"944","B","admitted","male"
"945","B","admitted","male"
"946","B","admitted","male"
"947","B","admitted","male"
"948","B","admitted","male"
"949","B","admitted","male"
"950","B","admitted","male"
"951","B","admitted","male"
"952","B","admitted","male"
"953","B","admitted","male"
"954","B","admitted","male"
"955","B","admitted","male"
"956","B","admitted","male"
"957","B","admitted","male"
"958","B","admitted","male"
"959","B","admitted","male"
"960","B","admitted","male"
"961","B","admitted","male"
"962","B","admitted","male"
"963","B","admitted","male"
"964","B","admitted","male"
"965","B","admitted","male"
"966","B","admitted","male"
"967","B","admitted","male"
"968","B","admitted","male"
"969","B","admitted","male"
"970","B","admitted","male"
"971","B","admitted","male"
"972","B","admitted","male"
"973","B","admitted","male"
"974","B","admitted","male"
"975","B","admitted","male"
"976","B","admitted","male"
"977","B","admitted","male"
"978","B","admitted","male"
"979","B","admitted","male"
"980","B","admitted","male"
"981","B","admitted","male"
"982","B","admitted","male"
"983","B","admitted","male"
"984","B","admitted","male"
"985","B","admitted","male"
"986","B","admitted","male"
"987","B","admitted","male"
"988","B","admitted","male"
"989","B","admitted","male"
"990","B","admitted","male"
"991","B","admitted","male"
"992","B","admitted","male"
"993","B","admitted","male"
"994","B","admitted","male"
"995","B","admitted","male"
"996","B","admitted","male"
"997","B","admitted","male"
"998","B","admitted","male"
"999","B","admitted","male"
"1000","B","admitted","male"
"1001","B","admitted","male"
"1002","B","admitted","male"
"1003","B","admitted","male"
"1004","B","admitted","male"
"1005","B","admitted","male"
"1006","B","admitted","male"
"1007","B","admitted","male"
"1008","B","admitted","male"
"1009","B","admitted","male"
"1010","B","admitted","male"
"1011","B","admitted","male"
"1012","B","admitted","male"
"1013","B","admitted","male"
"1014","B","admitted","male"
"1015","B","admitted","male"
"1016","B","admitted","male"
"1017","B","admitted","male"
"1018","B","admitted","male"
"1019","B","admitted","male"
"1020","B","admitted","male"
"1021","B","admitted","male"
"1022","B","admitted","male"
"1023","B","admitted","male"
"1024","B","admitted","male"
"1025","B","admitted","male"
"1026","B","admitted","male"
"1027","B","admitted","male"
"1028","B","admitted","male"
"1029","B","admitted","male"
"1030","B","admitted","male"
"1031","B","admitted","male"
"1032","B","admitted","male"
"1033","B","admitted","male"
"1034","B","admitted","male"
"1035","B","admitted","male"
"1036","B","admitted","male"
"1037","B","admitted","male"
"1038","B","admitted","male"
"1039","B","admitted","male"
"1040","B","admitted","male"
"1041","B","admitted","male"
"1042","B","admitted","male"
"1043","B","admitted","male"
"1044","B","admitted","male"
"1045","B","admitted","male"
"1046","B","admitted","male"
"1047","B","admitted","male"
"1048","B","admitted","male"
"1049","B","admitted","male"
"1050","B","admitted","male"
"1051","B","admitted","male"
"1052","B","admitted","male"
"1053","B","admitted","male"
"1054","B","admitted","male"
"1055","B","admitted","male"
"1056","B","admitted","male"
"1057","B","admitted","male"
"1058","B","admitted","male"
"1059","B","admitted","male"
"1060","B","admitted","male"
"1061","B","admitted","male"
"1062","B","admitted","male"
"1063","B","admitted","male"
"1064","B","admitted","male"
"1065","B","admitted","male"
"1066","B","admitted","male"
"1067","B","admitted","male"
"1068","B","admitted","male"
"1069","B","admitted","male"
"1070","B","admitted","male"
"1071","B","admitted","male"
"1072","B","admitted","male"
"1073","B","admitted","male"
"1074","B","admitted","male"
"1075","B","admitted","male"
"1076","B","admitted","male"
"1077","B","admitted","male"
"1078","B","admitted","male"
"1079","B","admitted","male"
"1080","B","admitted","male"
"1081","B","admitted","male"
"1082","B","admitted","male"
"1083","B","admitted","male"
"1084","B","admitted","male"
"1085","B","admitted","male"
"1086","B","admitted","male"
"1087","B","admitted","male"
"1088","B","admitted","male"
"1089","B","admitted","male"
"1090","B","admitted","male"
"1091","B","admitted","male"
"1092","B","admitted","male"
"1093","B","admitted","male"
"1094","B","admitted","male"
"1095","B","admitted","male"
"1096","B","admitted","male"
"1097","B","admitted","male"
"1098","B","admitted","male"
"1099","B","admitted","male"
"1100","B","admitted","male"
"1101","B","admitted","male"
"1102","B","admitted","male"
"1103","B","admitted","male"
"1104","B","admitted","male"
"1105","B","admitted","male"
"1106","B","admitted","male"
"1107","B","admitted","male"
"1108","B","admitted","male"
"1109","B","admitted","male"
"1110","B","admitted","male"
"1111","B","admitted","male"
"1112","B","admitted","male"
"1113","B","admitted","male"
"1114","B","admitted","male"
"1115","B","admitted","male"
"1116","B","admitted","male"
"1117","B","admitted","male"
"1118","B","admitted","male"
"1119","B","admitted","male"
"1120","B","admitted","male"
"1121","B","admitted","male"
"1122","B","admitted","male"
"1123","B","admitted","male"
"1124","B","admitted","male"
"1125","B","admitted","male"
"1126","B","admitted","male"
"1127","B","admitted","male"
"1128","B","admitted","male"
"1129","B","admitted","male"
"1130","B","admitted","male"
"1131","B","admitted","male"
"1132","B","admitted","male"
"1133","B","admitted","male"
"1134","B","admitted","male"
"1135","B","admitted","male"
"1136","B","admitted","male"
"1137","B","admitted","male"
"1138","B","admitted","male"
"1139","B","admitted","male"
"1140","B","admitted","male"
"1141","B","admitted","male"
"1142","B","admitted","male"
"1143","B","admitted","male"
"1144","B","admitted","male"
"1145","B","admitted","male"
"1146","B","admitted","male"
"1147","B","admitted","male"
"1148","B","admitted","male"
"1149","B","admitted","male"
"1150","B","admitted","male"
"1151","B","admitted","male"
"1152","B","admitted","male"
"1153","B","admitted","male"
"1154","B","admitted","male"
"1155","B","admitted","male"
"1156","B","admitted","male"
"1157","B","admitted","male"
"1158","B","admitted","male"
"1159","B","admitted","male"
"1160","B","admitted","male"
"1161","B","admitted","male"
"1162","B","admitted","male"
"1163","B","admitted","male"
"1164","B","admitted","male"
"1165","B","admitted","male"
"1166","B","admitted","male"
"1167","B","admitted","male"
"1168","B","admitted","male"
"1169","B","admitted","male"
"1170","B","admitted","male"
"1171","B","admitted","male"
"1172","B","admitted","male"
"1173","B","admitted","male"
"1174","B","admitted","male"
"1175","B","admitted","male"
"1176","B","admitted","male"
"1177","B","admitted","male"
